edge_bucket,hit_rate,n
"(-0.001, 1.0]",0.47520661157024796,242
"(1.0, 2.5]",0.4727272727272727,330
"(2.5, 3.0]",0.44144144144144143,111
"(3.0, 5.0]",0.5358090185676393,377
"(5.0, 7.0]",0.5300546448087432,366
"(7.0, 10.0]",0.4668304668304668,407
"(10.0, 15.0]",0.5431309904153354,313
"(15.0, 100.0]",0.4805194805194805,77
